Date,Series,Match,Venue,Winner
Matches for 2026View by DateView by SeriesView by ODI#* Scope of Matches reset due to one or more invalid parametersDateSeriesMatchGroundResultScorecard111/01/20262025-2026 India v. New Zealand1stKotambi StadiumIndia won by 4 wicketsODI #4937214/01/20262025-2026 India v. New Zealand2ndSaurashtra Cricket Association StadiumNew Zealand won by 7 wicketsODI #4938318/01/20262025-2026 India v. New Zealand3rdHolkar Cricket StadiumNew Zealand won by 41 runsODI #4939422/01/20262025-2026 Sri Lanka v. England1stR Premadasa StadiumSri Lanka won by 19 runsODI #4940524/01/20262025-2026 Sri Lanka v. England2ndR Premadasa StadiumEngland won by 5 wicketsODI #4941627/01/20262025-2026 Sri Lanka v. England3rdR Premadasa StadiumEngland won by 53 runsODI #4942711/03/20262025-2026 Bangladesh v. Pakistan1stShere Bangla National StadiumBangladesh won by 8 wicketsODI #4943813/03/20262025-2026 Bangladesh v. Pakistan2ndShere Bangla National StadiumPakistan won by 128 runsODI #4944915/03/20262025-2026 Bangladesh v. Pakistan3rdShere Bangla National StadiumBangladesh won by 11 runsODI #49451002/04/20262024-2027 ICC World Cup League 2 (OMA v. SCO)91stWanderers Cricket GroundMatch abandoned1104/04/20262024-2027 ICC World Cup League 2 (NAM v. OMA)92ndNamibia Cricket GroundOman won by 3 wicketsODI #49461206/04/20262024-2027 ICC World Cup League 2 (NAM v. SCO)93rdNamibia Cricket GroundNo resultODI #49471308/04/20262024-2027 ICC World Cup League 2 (OMA v. SCO)94thNamibia Cricket GroundOman won by 12 runsODI #49481410/04/20262024-2027 ICC World Cup League 2 (NAM v. OMA)95thNamibia Cricket GroundNamibia won by 1 wicketODI #49491512/04/20262024-2027 ICC World Cup League 2 (NAM v. SCO)96thNamibia Cricket GroundScotland won by 7 wicketsODI #49501617/04/20262025-2026 Bangladesh v. New Zealand1stShere Bangla National StadiumNew Zealand won by 26 runsODI #49511720/04/20262025-2026 Bangladesh v. New Zealand2ndShere Bangla National StadiumBangladesh won by 6 wicketsODI #49521823/04/20262025-2026 Bangladesh v. New Zealand3rdBir Sreshtho Flight Lieutenant Matiur Rahman StadiumBangladesh won by 55 runsODI #49531925/04/20262024-2027 ICC World Cup League 2 (NEP v. UAE)97thTribhuvan University International Cricket GroundNepal won by 37 runsODI #49542027/04/20262024-2027 ICC World Cup League 2 (OMA v. UAE)98thTribhuvan University International Cricket GroundUnited Arab Emirates won by 25 runsODI #49552129/04/20262024-2027 ICC World Cup League 2 (NEP v. OMA)99thTribhuvan University International Cricket GroundOman won by 102 runsODI #49562201/05/20262024-2027 ICC World Cup League 2 (NEP v. UAE)100thTribhuvan University International Cricket GroundNepal won by 6 runsODI #49572303/05/20262024-2027 ICC World Cup League 2 (OMA v. UAE)101stTribhuvan University International Cricket GroundUnited Arab Emirates won by 54 runsODI #49582405/05/20262024-2027 ICC World Cup League 2 (NEP v. OMA)102ndTribhuvan University International Cricket GroundNepal won by 81 runsODI #49592512/05/20262024-2027 ICC World Cup League 2 (NEP v. SCO)103rdTribhuvan University International Cricket GroundScotland won by 2 runsODI #49602614/05/20262024-2027 ICC World Cup League 2 (SCO v. USA)104thTribhuvan University International Cricket GroundScotland won by 2 runsODI #49612716/05/20262024-2027 ICC World Cup League 2 (NEP v. USA)105thTribhuvan University International Cricket GroundNepal won by 9 wicketsODI #49622818/05/20262024-2027 ICC World Cup League 2 (NEP v. SCO)106thTribhuvan University International Cricket GroundNepal won by 5 wicketsODI #49632920/05/20262024-2027 ICC World Cup League 2 (SCO v. USA)107thTribhuvan University International Cricket GroundUnited States won by 6 wicketsODI #49643022/05/20262024-2027 ICC World Cup League 2 (NEP v. USA)108thTribhuvan University International Cricket GroundNepal won by 122 runsODI #49653130/05/20262025-2026 Pakistan v. Australia1stRawalpindi Cricket StadiumPakistan won by 5 wicketsODI #49663202/06/20262025-2026 Pakistan v. Australia2ndGaddafi StadiumAustralia won by 41 runsODI #49673303/06/20262026 West Indies v. Sri Lanka1stSabina ParkSri Lanka won by 41 runsODI #49683404/06/20262025-2026 Pakistan v. Australia3rdGaddafi StadiumPakistan won by 4 wicketsODI #49691970's:19701971197219731974197519761977197819791980's:19801981198219831984198519861987198819891990's:19901991199219931994199519961997199819992000's:20002001200220032004200520062007200820092010's:20102011201220132014201520162017201820192020's:2020202120222023202420252026Scorecard Menu,DateSeriesMatchGroundResultScorecard111/01/20262025-2026 India v. New Zealand1stKotambi StadiumIndia won by 4 wicketsODI #4937214/01/20262025-2026 India v. New Zealand2ndSaurashtra Cricket Association StadiumNew Zealand won by 7 wicketsODI #4938318/01/20262025-2026 India v. New Zealand3rdHolkar Cricket StadiumNew Zealand won by 41 runsODI #4939422/01/20262025-2026 Sri Lanka v. England1stR Premadasa StadiumSri Lanka won by 19 runsODI #4940524/01/20262025-2026 Sri Lanka v. England2ndR Premadasa StadiumEngland won by 5 wicketsODI #4941627/01/20262025-2026 Sri Lanka v. England3rdR Premadasa StadiumEngland won by 53 runsODI #4942711/03/20262025-2026 Bangladesh v. Pakistan1stShere Bangla National StadiumBangladesh won by 8 wicketsODI #4943813/03/20262025-2026 Bangladesh v. Pakistan2ndShere Bangla National StadiumPakistan won by 128 runsODI #4944915/03/20262025-2026 Bangladesh v. Pakistan3rdShere Bangla National StadiumBangladesh won by 11 runsODI #49451002/04/20262024-2027 ICC World Cup League 2 (OMA v. SCO)91stWanderers Cricket GroundMatch abandoned1104/04/20262024-2027 ICC World Cup League 2 (NAM v. OMA)92ndNamibia Cricket GroundOman won by 3 wicketsODI #49461206/04/20262024-2027 ICC World Cup League 2 (NAM v. SCO)93rdNamibia Cricket GroundNo resultODI #49471308/04/20262024-2027 ICC World Cup League 2 (OMA v. SCO)94thNamibia Cricket GroundOman won by 12 runsODI #49481410/04/20262024-2027 ICC World Cup League 2 (NAM v. OMA)95thNamibia Cricket GroundNamibia won by 1 wicketODI #49491512/04/20262024-2027 ICC World Cup League 2 (NAM v. SCO)96thNamibia Cricket GroundScotland won by 7 wicketsODI #49501617/04/20262025-2026 Bangladesh v. New Zealand1stShere Bangla National StadiumNew Zealand won by 26 runsODI #49511720/04/20262025-2026 Bangladesh v. New Zealand2ndShere Bangla National StadiumBangladesh won by 6 wicketsODI #49521823/04/20262025-2026 Bangladesh v. New Zealand3rdBir Sreshtho Flight Lieutenant Matiur Rahman StadiumBangladesh won by 55 runsODI #49531925/04/20262024-2027 ICC World Cup League 2 (NEP v. UAE)97thTribhuvan University International Cricket GroundNepal won by 37 runsODI #49542027/04/20262024-2027 ICC World Cup League 2 (OMA v. UAE)98thTribhuvan University International Cricket GroundUnited Arab Emirates won by 25 runsODI #49552129/04/20262024-2027 ICC World Cup League 2 (NEP v. OMA)99thTribhuvan University International Cricket GroundOman won by 102 runsODI #49562201/05/20262024-2027 ICC World Cup League 2 (NEP v. UAE)100thTribhuvan University International Cricket GroundNepal won by 6 runsODI #49572303/05/20262024-2027 ICC World Cup League 2 (OMA v. UAE)101stTribhuvan University International Cricket GroundUnited Arab Emirates won by 54 runsODI #49582405/05/20262024-2027 ICC World Cup League 2 (NEP v. OMA)102ndTribhuvan University International Cricket GroundNepal won by 81 runsODI #49592512/05/20262024-2027 ICC World Cup League 2 (NEP v. SCO)103rdTribhuvan University International Cricket GroundScotland won by 2 runsODI #49602614/05/20262024-2027 ICC World Cup League 2 (SCO v. USA)104thTribhuvan University International Cricket GroundScotland won by 2 runsODI #49612716/05/20262024-2027 ICC World Cup League 2 (NEP v. USA)105thTribhuvan University International Cricket GroundNepal won by 9 wicketsODI #49622818/05/20262024-2027 ICC World Cup League 2 (NEP v. SCO)106thTribhuvan University International Cricket GroundNepal won by 5 wicketsODI #49632920/05/20262024-2027 ICC World Cup League 2 (SCO v. USA)107thTribhuvan University International Cricket GroundUnited States won by 6 wicketsODI #49643022/05/20262024-2027 ICC World Cup League 2 (NEP v. USA)108thTribhuvan University International Cricket GroundNepal won by 122 runsODI #49653130/05/20262025-2026 Pakistan v. Australia1stRawalpindi Cricket StadiumPakistan won by 5 wicketsODI #49663202/06/20262025-2026 Pakistan v. Australia2ndGaddafi StadiumAustralia won by 41 runsODI #49673303/06/20262026 West Indies v. Sri Lanka1stSabina ParkSri Lanka won by 41 runsODI #49683404/06/20262025-2026 Pakistan v. Australia3rdGaddafi StadiumPakistan won by 4 wicketsODI #4969,,Date,Series
DateSeriesMatchGroundResultScorecard111/01/20262025-2026 India v. New Zealand1stKotambi StadiumIndia won by 4 wicketsODI #4937214/01/20262025-2026 India v. New Zealand2ndSaurashtra Cricket Association StadiumNew Zealand won by 7 wicketsODI #4938318/01/20262025-2026 India v. New Zealand3rdHolkar Cricket StadiumNew Zealand won by 41 runsODI #4939422/01/20262025-2026 Sri Lanka v. England1stR Premadasa StadiumSri Lanka won by 19 runsODI #4940524/01/20262025-2026 Sri Lanka v. England2ndR Premadasa StadiumEngland won by 5 wicketsODI #4941627/01/20262025-2026 Sri Lanka v. England3rdR Premadasa StadiumEngland won by 53 runsODI #4942711/03/20262025-2026 Bangladesh v. Pakistan1stShere Bangla National StadiumBangladesh won by 8 wicketsODI #4943813/03/20262025-2026 Bangladesh v. Pakistan2ndShere Bangla National StadiumPakistan won by 128 runsODI #4944915/03/20262025-2026 Bangladesh v. Pakistan3rdShere Bangla National StadiumBangladesh won by 11 runsODI #49451002/04/20262024-2027 ICC World Cup League 2 (OMA v. SCO)91stWanderers Cricket GroundMatch abandoned1104/04/20262024-2027 ICC World Cup League 2 (NAM v. OMA)92ndNamibia Cricket GroundOman won by 3 wicketsODI #49461206/04/20262024-2027 ICC World Cup League 2 (NAM v. SCO)93rdNamibia Cricket GroundNo resultODI #49471308/04/20262024-2027 ICC World Cup League 2 (OMA v. SCO)94thNamibia Cricket GroundOman won by 12 runsODI #49481410/04/20262024-2027 ICC World Cup League 2 (NAM v. OMA)95thNamibia Cricket GroundNamibia won by 1 wicketODI #49491512/04/20262024-2027 ICC World Cup League 2 (NAM v. SCO)96thNamibia Cricket GroundScotland won by 7 wicketsODI #49501617/04/20262025-2026 Bangladesh v. New Zealand1stShere Bangla National StadiumNew Zealand won by 26 runsODI #49511720/04/20262025-2026 Bangladesh v. New Zealand2ndShere Bangla National StadiumBangladesh won by 6 wicketsODI #49521823/04/20262025-2026 Bangladesh v. New Zealand3rdBir Sreshtho Flight Lieutenant Matiur Rahman StadiumBangladesh won by 55 runsODI #49531925/04/20262024-2027 ICC World Cup League 2 (NEP v. UAE)97thTribhuvan University International Cricket GroundNepal won by 37 runsODI #49542027/04/20262024-2027 ICC World Cup League 2 (OMA v. UAE)98thTribhuvan University International Cricket GroundUnited Arab Emirates won by 25 runsODI #49552129/04/20262024-2027 ICC World Cup League 2 (NEP v. OMA)99thTribhuvan University International Cricket GroundOman won by 102 runsODI #49562201/05/20262024-2027 ICC World Cup League 2 (NEP v. UAE)100thTribhuvan University International Cricket GroundNepal won by 6 runsODI #49572303/05/20262024-2027 ICC World Cup League 2 (OMA v. UAE)101stTribhuvan University International Cricket GroundUnited Arab Emirates won by 54 runsODI #49582405/05/20262024-2027 ICC World Cup League 2 (NEP v. OMA)102ndTribhuvan University International Cricket GroundNepal won by 81 runsODI #49592512/05/20262024-2027 ICC World Cup League 2 (NEP v. SCO)103rdTribhuvan University International Cricket GroundScotland won by 2 runsODI #49602614/05/20262024-2027 ICC World Cup League 2 (SCO v. USA)104thTribhuvan University International Cricket GroundScotland won by 2 runsODI #49612716/05/20262024-2027 ICC World Cup League 2 (NEP v. USA)105thTribhuvan University International Cricket GroundNepal won by 9 wicketsODI #49622818/05/20262024-2027 ICC World Cup League 2 (NEP v. SCO)106thTribhuvan University International Cricket GroundNepal won by 5 wicketsODI #49632920/05/20262024-2027 ICC World Cup League 2 (SCO v. USA)107thTribhuvan University International Cricket GroundUnited States won by 6 wicketsODI #49643022/05/20262024-2027 ICC World Cup League 2 (NEP v. USA)108thTribhuvan University International Cricket GroundNepal won by 122 runsODI #49653130/05/20262025-2026 Pakistan v. Australia1stRawalpindi Cricket StadiumPakistan won by 5 wicketsODI #49663202/06/20262025-2026 Pakistan v. Australia2ndGaddafi StadiumAustralia won by 41 runsODI #49673303/06/20262026 West Indies v. Sri Lanka1stSabina ParkSri Lanka won by 41 runsODI #49683404/06/20262025-2026 Pakistan v. Australia3rdGaddafi StadiumPakistan won by 4 wicketsODI #4969,,Date,Series,Match
1,11/01/2026,2025-2026 India v. New Zealand,1st,Kotambi Stadium
2,14/01/2026,2025-2026 India v. New Zealand,2nd,Saurashtra Cricket Association Stadium
3,18/01/2026,2025-2026 India v. New Zealand,3rd,Holkar Cricket Stadium
4,22/01/2026,2025-2026 Sri Lanka v. England,1st,R Premadasa Stadium
5,24/01/2026,2025-2026 Sri Lanka v. England,2nd,R Premadasa Stadium
6,27/01/2026,2025-2026 Sri Lanka v. England,3rd,R Premadasa Stadium
7,11/03/2026,2025-2026 Bangladesh v. Pakistan,1st,Shere Bangla National Stadium
8,13/03/2026,2025-2026 Bangladesh v. Pakistan,2nd,Shere Bangla National Stadium
